Row ID,MK-Molecule ChEMBL ID,MK-Compound Key,MK-Standard Type,MK-Standard Relation,MK-Standard Value,MK-Standard Units,MK-Document ChEMBL ID,MK-Canonical SMILES,fp2_fp
Row10,CHEMBL1091645,10k,Activity,=,410,nM,CHEMBL1156223,COc1cccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4c3CCC[C@@H]4O)cc2)c1,0000000000011000000000000000001100000000000001000001000000000001101010010000000000110000101100000011000000100001000000010001000000000001100000000001000000000100000000110000000000000000000010000100000000100000000000000000000110000000000000000001000000000000000111000001000000000101010000001000000000000001000000001100011000000101001010001001000000001100000000000101000000000100000000011100000000100100011000000000010100001000000100100000101100010000000100000000000100000000001100001000000100100000001000000000000000011000000000000001100000101000010000001000000001100000010000000000000000001000000000110000000000100010100010001000000000000000100000000000100011000000100000010001000000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001100100000000010000000110000000000000000010001001010100000110000000000000001100001100000101000010000101001010000100010100000100000000100000100000101111100000001100000100101000000000100000000000000000
Row11,CHEMBL1091645,10k,Activity,=,410,nM,CHEMBL1156223,COc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCC[C@@H]4O)cc2)c1,0000000000011000000000000000001100000000000001000001000000000001101010010000000000110000101100000011000000100001000000010001000000000001100000000001000000000100000000110000000000000000000010000100000000100000000000000000000110000000000000000001000000000000000111000001000000000101010000001000000000000001000000001100011000000101001010001001000000001100000000000101000000000100000000011100000000100100011000000000010100001000000100100000101100010000000100000000000100000000001100001000000100100000001000000000000000011000000000000001100000101000010000001000000001100000010000000000000000001000000000110000000000100010100010001000000000000000100000000000100011000000100000010001000000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001100100000000010000000110000000000000000010001001010100000110000000000000001100001100000101000010000101001010000100010100000100000000100000100000101111100000001100000100101000000000100000000000000000
Row12,CHEMBL1091648,10n,Activity,=,340,nM,CHEMBL1156223,O=C([O-])c1cn(Cc2ccc(-c3cccc(Cl)c3)cc2)c2c(c1=O)[C@@H](O)CCC2,0000000000011000001000000000001100000000000000000001000000000001101010010000000000110000101100000011000000000001000000010001000000000001100000000001000000000100000000110000000000000000000010000100000000100000000000000000000110000000000000100001000000000000000111000001000000000101010000001000000000000001000000001100011000000101011010001001000000001100000000000101000000000100000000011100000000000010010000000000010100001000000100100000101100010000000100000000000100000000001100001000000000100000001000000000000000011000000000000001100000101000000000001000000001100000000000001000000000001000000000110000000000010010100010001000000000100000100000000000100011000000100000010001000000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001010100000000010000000110000000000000000010001001010100000110000000000000001100001100000101000010000101001000000100010100000100000000000000000000101111100000001100000000101000000000101000000000000000
Row13,CHEMBL1091648,10n,Activity,=,340,nM,CHEMBL1156223,O=C(O)c1cn(Cc2ccc(-c3cccc(Cl)c3)cc2)c2c(c1=O)[C@@H](O)CCC2,0000000000011000001000000000001100000000000000000001000000000001101010010000000000110000101100000011000000000001000000010001000000000001100000000001000000000100000000110000000000000000000010000100000000100000000000000000000110000000000000100001000000000000000111000001000000000101010000001000000000000001000000001100011000000101011010001001000000001100000000000101000000000100000000011100000000000010010000000000010100001000000100100000101100010000000100000000000100000000001100001000000000100000001000000000000000011000000000000001100000101000000000001000000001100000000000001000000000001000000000110000000000010010100010001000000000100000100000000000100011000000100000010001000000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001010100000000010000000110000000000000000010001001010100000110000000000000001100001100000101000010000101001000000100010100000100000000000000000000101111100000001100000000101000000000101000000000000000
Row14,CHEMBL1091960,10o,Activity,=,340,nM,CHEMBL1156223,O=C([O-])c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2c(c1=O)[C@@H](O)CCC2,0000000000011000001000000100001100000000000000000001000000000001101010010000000000110000101100000011000000000001000000010001000000000001100000000001000000000100000000110000000000010000000010000100000000100000000000000000000110000000000000100001000000000000000111000001000000000101010000001000000000000001000000001100011000000101011010001001000000001100000000000101000000000100000000011100000000000000010000000000010100001000000100100000101100010000000100000000000100000000001100001000000000100000001000000000000000011000000000000001100000101000000000001000000001100000000000000000000000001000000000110000000000010010100010001000000000100000100000000000100011000000100000010001000000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001000100000000010000000110000000000000000010001001010100000110000000000000001100001100000101000010000101001000000100010100000100000000000000000000101111100000001100000000101000000000101000000000000000
Row15,CHEMBL1091960,10o,Activity,=,340,nM,CHEMBL1156223,O=C(O)c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2c(c1=O)[C@@H](O)CCC2,0000000000011000001000000100001100000000000000000001000000000001101010010000000000110000101100000011000000000001000000010001000000000001100000000001000000000100000000110000000000010000000010000100000000100000000000000000000110000000000000100001000000000000000111000001000000000101010000001000000000000001000000001100011000000101011010001001000000001100000000000101000000000100000000011100000000000000010000000000010100001000000100100000101100010000000100000000000100000000001100001000000000100000001000000000000000011000000000000001100000101000000000001000000001100000000000000000000000001000000000110000000000010010100010001000000000100000100000000000100011000000100000010001000000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001000100000000010000000110000000000000000010001001010100000110000000000000001100001100000101000010000101001000000100010100000100000000000000000000101111100000001100000000101000000000101000000000000000
Row16,CHEMBL1091968,16e,IP,=,240,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-n3ccnc3)cc2)c2ccsc2c1=O,0000000000011000010000011000000000000000000000001001000000000001100010010000000000110001000000000000000000001000000000010001000000010000000000000001000000000100000000000000000011000000000010000000100000000000000000000001000011000000000000000101000000000000000110000000000000000101010000001000000110000000000000001100001000001111101010001011000000001101000000000000000000000000000000011000000000000000010000000000000000000000000000000000001100001000000100001000000100000000001000101000100000000000000000000000110000011000000000000001100000000000000000010100010000011000000010000000000010000000000000110000000000001010000011001000000000000000100000001000000011100000000000010001100000101001100000000000000000000011100010000000000000000001100000000100000000000100001000000000000000000100000000000000000000000000000000001000000000000000000000010000110110000000000000000010000100000100000111000000000000000100001100000100000000000000100001000100000100000000000000000000000000101100100000001100011000101000000000000110000000000000
Row17,CHEMBL1091968,16e,IP,=,240,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-n3ccnc3)cc2)c2ccsc2c1=O,0000000000011000010000011000000000000000000000001001000000000001100010010000000000110001000000000000000000001000000000010001000000010000000000000001000000000100000000000000000011000000000010000000100000000000000000000001000011000000000000000101000000000000000110000000000000000101010000001000000110000000000000001100001000001111101010001011000000001101000000000000000000000000000000011000000000000000010000000000000000000000000000000000001100001000000100001000000100000000001000101000100000000000000000000000110000011000000000000001100000000000000000010100010000011000000010000000000010000000000000110000000000001010000011001000000000000000100000001000000011100000000000010001100000101001100000000000000000000011100010000000000000000001100000000100000000000100001000000000000000000100000000000000000000000000000000001000000000000000000000010000110110000000000000000010000100000100000111000000000000000100001100000100000000000000100001000100000100000000000000000000000000101100100000001100011000101000000000000110000000000000
Row18,CHEMBL1092849,11a,IP,=,430,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2cnccc2c1=O,0000000000010000000000000000000000000000000000000001100000000001100010010000000000110000000000000000000000000001000000010001000000010001000000000001000000000100000000010000000010000000000010000000000000000000000000000000000010000000000000000001000000100000000110000000000000000101010000001000000000000000000000001100011000000111001010001011000000001100000000000000000000000000000000011000000000000000000000000000010000000000000000000000001100010000000100000000000100000000001000001000000000000000001000000000100000011000000000000001100000000000000000011000000000010000000000000000000000000000000000111000000000000010000010001000000000000000100000000000000011000000000000010001000000000000000000000000000000000001100010000000000000000000100000000100000000000100001000000000000000000100000000000000000000000000000000001000000000000000000000010000000110000000000000000010000100000100000110000000000000000100001100000100000000000000000000000100000100000000000000000000000000101100100000001000000000100000000000100000000000000000
Row19,CHEMBL1092849,11a,IP,=,430,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2cnccc2c1=O,0000000000010000000000000000000000000000000000000001100000000001100010010000000000110000000000000000000000000001000000010001000000010001000000000001000000000100000000010000000010000000000010000000000000000000000000000000000010000000000000000001000000100000000110000000000000000101010000001000000000000000000000001100011000000111001010001011000000001100000000000000000000000000000000011000000000000000000000000000010000000000000000000000001100010000000100000000000100000000001000001000000000000000001000000000100000011000000000000001100000000000000000011000000000010000000000000000000000000000000000111000000000000010000010001000000000000000100000000000000011000000000000010001000000000000000000000000000000000001100010000000000000000000100000000100000000000100001000000000000000000100000000000000000000000000000000001000000000000000000000010000000110000000000000000010000100000100000110000000000000000100001100000100000000000000000000000100000100000000000000000000000000101100100000001000000000100000000000100000000000000000
