Row ID,MK-Molecule ChEMBL ID,MK-Compound Key,MK-Standard Type,MK-Standard Relation,MK-Standard Value,MK-Standard Units,MK-Document ChEMBL ID,MK-Canonical SMILES,fp2_fp
Row30,CHEMBL1093895,16g,IP,=,150,nM,CHEMBL1156154,Cn1cc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4sccc43)cc2)cn1,0000001000011000010000011000000000000000000000001001000000000001110010010000000000110000000000000000000000001001000000010001000000010001000000000001000000000100000000000000000001000000000010000000100000000000000000000001000011000000000000000101000000000000000110000000000000000101011000001000000010001000000000001000001000001111101010001111000000001101000000000000000000000000000000011000000000000100011000100000010000000000000000000000101100011000000100001000000100000001001000101000000100000000001000000000010000011000000000000001100000000000100000000100010000101000000010000000000010000000000000110000000000001010000010001000000000000000100000001000000011100000000000010001000000101001000000000000000000000011100010000000000000000001100000000100000000000100001000000000000000000100000000000000000000000000000000000000000000000000000010010000110110000000000000000010000000000100000111000000001000000100001100000100000000000000000001001100000100000000000000100000100000101100100000001100011100111000000000000110000000000000
Row31,CHEMBL1093895,16g,IP,=,150,nM,CHEMBL1156154,Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)cc2)cn1,0000001000011000010000011000000000000000000000001001000000000001110010010000000000110000000000000000000000001001000000010001000000010001000000000001000000000100000000000000000001000000000010000000100000000000000000000001000011000000000000000101000000000000000110000000000000000101011000001000000010001000000000001000001000001111101010001111000000001101000000000000000000000000000000011000000000000100011000100000010000000000000000000000101100011000000100001000000100000001001000101000000100000000001000000000010000011000000000000001100000000000100000000100010000101000000010000000000010000000000000110000000000001010000010001000000000000000100000001000000011100000000000010001000000101001000000000000000000000011100010000000000000000001100000000100000000000100001000000000000000000100000000000000000000000000000000000000000000000000000010010000110110000000000000000010000000000100000111000000001000000100001100000100000000000000000001001100000100000000000000100000100000101100100000001100011100111000000000000110000000000000
Row32,CHEMBL1093896,16h,IP,=,38,nM,CHEMBL1156154,Nc1cccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4sccc43)nc2)c1,0000000000011001010000011000000000000010000000001001000000000001100010010010000000110000000000000001000000001001000000010001000000010001000000000001000000000100000000010010000001000000000010000000100000000000000010000001000011000000000000000101010000000000000110001000000000000101010000001000000010001000000000001000011100001111101010001011000000001101000000000000000000000000000000011010000000000000010001100000010000000000000000000000001000011100000100001000000100000000001000101000000000000000001000000000010000011000000000000001100000100000100000010100010000101000000010000000000010000000000000110000100000001010000010001000000000000000100000001000000011100000000000010001000000101001010000000000000000000111100010000000000000000001100000000100000000000100001000000100000000000100000000000000000000000000000000000000000000000000000010010000110110000000000100000010001000000100000111000100000000000100001100000100000000000100000001100100000100000000000000000000000000101100100000001100011000101000000000100110000000000000
Row33,CHEMBL1093896,16h,IP,=,38,nM,CHEMBL1156154,Nc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)c1,0000000000011001010000011000000000000010000000001001000000000001100010010010000000110000000000000001000000001001000000010001000000010001000000000001000000000100000000010010000001000000000010000000100000000000000010000001000011000000000000000101010000000000000110001000000000000101010000001000000010001000000000001000011100001111101010001011000000001101000000000000000000000000000000011010000000000000010001100000010000000000000000000000001000011100000100001000000100000000001000101000000000000000001000000000010000011000000000000001100000100000100000010100010000101000000010000000000010000000000000110000100000001010000010001000000000000000100000001000000011100000000000010001000000101001010000000000000000000111100010000000000000000001100000000100000000000100001000000100000000000100000000000000000000000000000000000000000000000000000010010000110110000000000100000010001000000100000111000100000000000100001100000100000000000100000001100100000100000000000000000000000000101100100000001100011000101000000000100110000000000000
Row34,CHEMBL1683359,4h,IP,=,460,nM,CHEMBL1681740,O=C([O-])c1cc(C[NH+]2CCC(c3ccc(C(F)(F)F)cc3)CC2)c2ccccn2c1=O,0000000000110000000000000000000010000000000000000001010000000011101010000000000000110000000000000000000001000000000000010000000000000000000000000000000000000100100000000100000000000000000010000010000000000000000000000000000110000000000000000001000000000000000111000001000000000101000000001000000000000001000000001000001000001011001010001011000000001100000000000100000000000000000000011100000000100000000000000000000100000000000000000000001000000000000100000000000000000000001000000000000000000000001000000000000000011000000000000001100000001000000000010001000000000100000000000000000000000000000000110100000000100000000010001000000000000000000000000000100011000000000001010001000000000000000001100101100100000111100110000000100000000001000000000100100000000000001100000000000000000100000000000010001000000000000100010000000000000100000000110000000100000000000000000010000000000100000100000000000000000100001100000100000000000000000000000100001100000100000000000000000000101000100000001100000000100000000000000000000000000100
Row35,CHEMBL1683359,4h,IP,=,460,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCC(c3ccc(C(F)(F)F)cc3)CC2)c2ccccn2c1=O,0000000000110000000000000000000010000000000000000001010000000011101010000000000000110000000000000000000001000000000000010000000000000000000000000000000000000100100000000100000000000000000010000010000000000000000000000000000110000000000000000001000000000000000111000001000000000101000000001000000000000001000000001000001000001011001010001011000000001100000000000100000000000000000000011100000000100000000000000000000100000000000000000000001000000000000100000000000000000000001000000000000000000000001000000000000000011000000000000001100000001000000000010001000000000100000000000000000000000000000000110100000000100000000010001000000000000000000000000000100011000000000001010001000000000000000001100101100100000111100110000000100000000001000000000100100000000000001100000000000000000100000000000010001000000000000100010000000000000100000000110000000100000000000000000010000000000100000100000000000000000100001100000100000000000000000000000100001100000100000000000000000000101000100000001100000000100000000000000000000000000100
Row36,CHEMBL1683377,4z,IP,=,120,nM,CHEMBL1681740,O=C([O-])c1cc(C[NH+]2CCC(c3nc4ccccc4[nH]3)CC2)c2ccccn2c1=O,0000000010100000000000000000001010000000000000000001000000000011100000000000100000110001100000000001000001000000000000010000000000000000010000000000000000000100100000000000000000000000000010000010000000000000000000000000000110000000000000000001000000000000000111000001000000000101000000001000000000000001000000001100001000001011001010001011000000001100000000000000000000000000000000111100000000100000000000000000000100001000000000000000001000000000000100000000000000000000001100000000000000000000001000000000000000011000000000000001100000101000000000010001000000100100000000000000000000000000000000110000000000100000000010001000000000000000000000000000000011000000100001010001000000000000100000100101000100000011100110000000000000000001000000000100000000000000001100000000000000000100000000000010001000000010000000010000000000000100000000110000000100000000000000000010001100000100000100000000000000000100001100000100000000000100000000000101001100000100000000000000000000001000100000001100000000101000000000000000000000000100
Row37,CHEMBL1683377,4z,IP,=,120,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCC(c3nc4ccccc4[nH]3)CC2)c2ccccn2c1=O,0000000010100000000000000000001010000000000000000001000000000011100000000000100000110001100000000001000001000000000000010000000000000000010000000000000000000100100000000000000000000000000010000010000000000000000000000000000110000000000000000001000000000000000111000001000000000101000000001000000000000001000000001100001000001011001010001011000000001100000000000000000000000000000000111100000000100000000000000000000100001000000000000000001000000000000100000000000000000000001100000000000000000000001000000000000000011000000000000001100000101000000000010001000000100100000000000000000000000000000000110000000000100000000010001000000000000000000000000000000011000000100001010001000000000000100000100101000100000011100110000000000000000001000000000100000000000000001100000000000000000100000000000010001000000010000000010000000000000100000000110000000100000000000000000010001100000100000100000000000000000100001100000100000000000100000000000101001100000100000000000000000000001000100000001100000000101000000000000000000000000100
Row38,CHEMBL1683379,10,IP,=,80,nM,CHEMBL1681740,O=C([O-])c1cn(Cc2ccc3ccccc3c2)c2ccccc2c1=O,0000000000000000000000000000000000000000000000000001000000000001100010010000000000110000000000000000000000000000000000010001000000000000000000000001000000000100000000000000000000000000000010000000000000000000000000000000000010000000000000000001000000000000000110000000000000000101010000001000000000000000000000001000001000001111001010001011000000001100000000000000000000000000000000011000000000000000000000000000000000000000000000000000001000000000000100000000000100000000001000001000000000000000000000000000000000011000000000000001100000000000000000010000000000000000000000000000000000000000000000110000000000000010000010001000000000000000000000000000000011000000000000010001000000000000000000000000000000000001100010000000000000000001100000000100000000000100001000000000000000000100000000000000000000000000000000000000000000000000000000110000000110000000000000000010000000000100000100000000000000000100001100000100000000000000000000000100000100000000000000000000000000101100100000001000000000100000000000000000000000000000
Row39,CHEMBL1683379,10,IP,=,80,nM,CHEMBL1681740,O=C(O)c1cn(Cc2ccc3ccccc3c2)c2ccccc2c1=O,0000000000000000000000000000000000000000000000000001000000000001100010010000000000110000000000000000000000000000000000010001000000000000000000000001000000000100000000000000000000000000000010000000000000000000000000000000000010000000000000000001000000000000000110000000000000000101010000001000000000000000000000001000001000001111001010001011000000001100000000000000000000000000000000011000000000000000000000000000000000000000000000000000001000000000000100000000000100000000001000001000000000000000000000000000000000011000000000000001100000000000000000010000000000000000000000000000000000000000000000110000000000000010000010001000000000000000000000000000000011000000000000010001000000000000000000000000000000000001100010000000000000000001100000000100000000000100001000000000000000000100000000000000000000000000000000000000000000000000000000110000000110000000000000000010000000000100000100000000000000000100001100000100000000000000000000000100000100000000000000000000000000101100100000001000000000100000000000000000000000000000
Row40,CHEMBL1683383,9d,IP,=,330,nM,CHEMBL1681740,O=C([O-])c1cc(C[N@@H+]2CCc3cc(Cl)ccc3C2)c2ccccn2c1=O,0000000000110000001000000000000010000000000000000001000000000011101000000000000000110000000000000000000001000000000000010001000000000000000000000000000000000000100000000000000100010000000010000010000000000000000000000000000110000000000000100001000000000000000111000001000000001101010000001000000000000001000000001000001000001011011010001011001000001100000000000000000000100000000000011000000000100000000000000000000100000000000000000000001000000000000100100000000000000000001000000000000000100010001000000000000000011000000000000001100000001000000000010001000000000100000000001000000000000000000000110000000000110001100010001000000000100000000000000000100010000000000000010001000000000000000000100101100100000011000110000000100000000001000000001100000000000000001100000000000000000100000000000010000000000000000000010000000000010100000000110000000100000000000000000010001000000100000100000000000000000100001100000100000000000100000000000100001100000100000000000000000000001000100000001001000000101000000000001000000000000100
Row41,CHEMBL1683383,9d,IP,=,330,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCc3cc(Cl)ccc3C2)c2ccccn2c1=O,0000000000110000001000000000000010000000000000000001000000000011101000000000000000110000000000000000000001000000000000010001000000000000000000000000000000000000100000000000000100010000000010000010000000000000000000000000000110000000000000100001000000000000000111000001000000001101010000001000000000000001000000001000001000001011011010001011001000001100000000000000000000100000000000011000000000100000000000000000000100000000000000000000001000000000000100100000000000000000001000000000000000100010001000000000000000011000000000000001100000001000000000010001000000000100000000001000000000000000000000110000000000110001100010001000000000100000000000000000100010000000000000010001000000000000000000100101100100000011000110000000100000000001000000001100000000000000001100000000000000000100000000000010000000000000000000010000000000010100000000110000000100000000000000000010001000000100000100000000000000000100001100000100000000000100000000000100001100000100000000000000000000001000100000001001000000101000000000001000000000000100
Row42,CHEMBL1683395,9p,IP,=,390,nM,CHEMBL1681740,O=C([O-])c1cc(CN2CCc3cc(-c4ccncc4)ccc3C2)c2ccccn2c1=O,0000001000110000000000000000000010000000000000000001000000000011101000000000000000110000000000000000000001000001000000010001000001000001000000000000000000000000100000000000000100000000000010000010000010000000000000000000000110000000000000000001000000000000000111000001000000000101010000001000000000000001000000001000011000001011001010001011001000001100000000000000000000100000000000011000000000100000000000000000010100000000000000000000001000010000000100100000010000000000001000000000000000100010001000000000000000011000000000000001100000001000000000010001000000000100000000000000000000000000000000110000000000100000100010001000000000000000100000000000000010000000000000110001000000000000000000100101100100000011000110000000100000000001000000001100000000000000001100000000000000000100000000000010000000000000000000010000000000000100000000110000000100000000000000000110001000000100000100000000000000000100001100000100000000000100000000000100001100000100000000000000000000001000100000001000000000101000000000100000000000000100
Row43,CHEMBL1683395,9p,IP,=,390,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCc3cc(-c4ccncc4)ccc3C2)c2ccccn2c1=O,0000001000110000000000000000000010000000000000000001000000000011101000000000000000110000000000000000000001000001000000010001000001000001000000000000000000000000100000000000000100000000000010000010000010000000000000000000000110000000000000000001000000000000000111000001000000000101010000001000000000000001000000001000011000001011001010001011001000001100000000000000000000100000000000011000000000100000000000000000010100000000000000000000001000010000000100100000010000000000001000000000000000100010001000000000000000011000000000000001100000001000000000010001000000000100000000000000000000000000000000110000000000100000100010001000000000000000100000000000000010000000000000110001000000000000000000100101100100000011000110000000100000000001000000001100000000000000001100000000000000000100000000000010000000000000000000010000000000000100000000110000000100000000000000000110001000000100000100000000000000000100001100000100000000000100000000000100001100000100000000000000000000001000100000001000000000101000000000100000000000000100
Row44,CHEMBL1683397,9s,IP,=,340,nM,CHEMBL1681740,CCOC(=O)[C@H]1c2ccccc2CCN1Cc1cc(C(=O)[O-])c(=O)n2ccccc12,0000000000110000000000000000000010000000000000110001000000000011101000000000100000110000000000000000000001100000000000010001000001000000000000000000000000000000100000000000000100000000000010000010000001000000000000000000000110000000000100000001000000000000000111000001000000000101010000001000000000000001000000001110011000001011001010001011001000001100000000100000000001100000000000011000000000100000000000000000000100000000000000000000001000010000000100100000000000000000001000000000000000100010001000000000110000011000000000000001100000001000000010010001010000011100000000011000000000000000000000110000000000100000100010001000000001100000000000000000011010000000100000010001000000000000000000100101100100000011000111000000100000000001000000001100000000000000001100000100000100000100000000000010000000000000000000010000000000000100000000110000000100000000000000000010001110000100000100000000000000000100001100000100000000000100100000000101001100000101000000000000000000001000100000001000000000101000000000001000000000000100
Row45,CHEMBL1683397,9s,IP,=,340,nM,CHEMBL1681740,CCOC(=O)[C@H]1c2ccccc2CCN1Cc1cc(C(=O)O)c(=O)n2ccccc12,0000000000110000000000000000000010000000000000110001000000000011101000000000100000110000000000000000000001100000000000010001000001000000000000000000000000000000100000000000000100000000000010000010000001000000000000000000000110000000000100000001000000000000000111000001000000000101010000001000000000000001000000001110011000001011001010001011001000001100000000100000000001100000000000011000000000100000000000000000000100000000000000000000001000010000000100100000000000000000001000000000000000100010001000000000110000011000000000000001100000001000000010010001010000011100000000011000000000000000000000110000000000100000100010001000000001100000000000000000011010000000100000010001000000000000000000100101100100000011000111000000100000000001000000001100000000000000001100000100000100000100000000000010000000000000000000010000000000000100000000110000000100000000000000000010001110000100000100000000000000000100001100000100000000000100100000000101001100000101000000000000000000001000100000001000000000101000000000001000000000000100
Row46,CHEMBL1683401,9w,IP,=,150,nM,CHEMBL1681740,O=C([O-])c1cc(CN2CCc3ccccc3[C@H]2c2ccccc2F)c2ccccn2c1=O,0000000000110000000000000000000010000000000000000001000000000011101000000000000010110000000000000000000011000000000000010011000001000000000000000000000000000001100000000000000100000000000010000010000000000000000000000000001110000000000000000001000000000000000111000001000000000101010001101000000000000001000000001000001000001011001010001011001000001100000000000000000000100000000000011000000000100000000000000000000100000000000000000000011000000000000100100000000000000000001000000000000000100010001000000110000000011000000000000001100000001000000000010001000000000101000000000000000000000100000000110000000000100000100010001000000000000000000000000000000010000000100000010001000000000000000000100101100100000011000110000000100000000001000000001100000000000000001100000100000000000100000000000110000000000000000100010000000000000100000001110000000100000000000000000010001000000100000100000000000000000100001100000100000000100100000000000100001100000100000000000000000000001000100000001000000000101001100000000000000000000100
Row47,CHEMBL1683401,9w,IP,=,150,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCc3ccccc3[C@H]2c2ccccc2F)c2ccccn2c1=O,0000000000110000000000000000000010000000000000000001000000000011101000000000000010110000000000000000000011000000000000010011000001000000000000000000000000000001100000000000000100000000000010000010000000000000000000000000001110000000000000000001000000000000000111000001000000000101010001101000000000000001000000001000001000001011001010001011001000001100000000000000000000100000000000011000000000100000000000000000000100000000000000000000011000000000000100100000000000000000001000000000000000100010001000000110000000011000000000000001100000001000000000010001000000000101000000000000000000000100000000110000000000100000100010001000000000000000000000000000000010000000100000010001000000000000000000100101100100000011000110000000100000000001000000001100000000000000001100000100000000000100000000000110000000000000000100010000000000000100000001110000000100000000000000000010001000000100000100000000000000000100001100000100000000100100000000000100001100000100000000000000000000001000100000001000000000101001100000000000000000000100
Row48,CHEMBL1683402,9x,IP,=,53,nM,CHEMBL1681740,O=C([O-])c1cc(CN2CCc3ccccc3[C@@H]2c2ccncc2)c2ccccn2c1=O,0000001000110000000000000000000010000000000000011001000000000011101000000000000000110000000000000000000011000000000000010011000000000000000000000000000000000001100000000000000100000000000010000010000000000000000000000000001110000000000000110001000000000000000111000001000000000101010000001000000000000001000000001000001000001011001010001011001000001100000000000000000000100000000000011000000000100000000000000000000100000000000000000000011000000000000100100000000000000000001000000000100000100010001000000000000000011000000000000001100000001000000000010001000000000100000000000000000000000000000000110000000000100000100010001000000000000000100000000000000010000000100000010001000000000000000000100101100100000011000110000000100000000001000000001100000000000000001100000100000000000100000000000110000000000000000100010000000000000100000000110000000100000000000000000010001000000100000100000000000000000100001100000100000000000101000000000100001100000100000000000000000000001000100000001000000000101000000000000000000000000100
Row49,CHEMBL1683402,9x,IP,=,53,nM,CHEMBL1681740,O=C(O)c1cc(CN2CCc3ccccc3[C@@H]2c2ccncc2)c2ccccn2c1=O,0000001000110000000000000000000010000000000000011001000000000011101000000000000000110000000000000000000011000000000000010011000000000000000000000000000000000001100000000000000100000000000010000010000000000000000000000000001110000000000000110001000000000000000111000001000000000101010000001000000000000001000000001000001000001011001010001011001000001100000000000000000000100000000000011000000000100000000000000000000100000000000000000000011000000000000100100000000000000000001000000000100000100010001000000000000000011000000000000001100000001000000000010001000000000100000000000000000000000000000000110000000000100000100010001000000000000000100000000000000010000000100000010001000000000000000000100101100100000011000110000000100000000001000000001100000000000000001100000100000000000100000000000110000000000000000100010000000000000100000000110000000100000000000000000010001000000100000100000000000000000100001100000100000000000101000000000100001100000100000000000000000000001000100000001000000000101000000000000000000000000100
Row50,CHEMBL1770168,9a,IP,=,69,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3ccccc3c2)c2cccc(F)c2c1=O,0000000000100000000000000000000000000000000000000001000000000001100010010000000011110000000000000000000000000000000000010001000001100000000000000001000000000100000000000000000000000000000010000000000000000000000000000000000010000000000000000001000001000000000110000000000000000101010000001000000000000000000000001000001000001111001010001011000000001100000000000000000000000000000000011000000000000000000001000000000000000000000000000000001000000000000100000010000100000000001000001000000000000000000000000000000000011000000000000001100000000000000000010000000000000010000000000000000000000100000000110000000000000010000010001000000000000000000000000000000011000000000000010001000000000000000000000000000000000001100010000000001000000001100000000100000000000100001000000000000000000100000000000000000000000000000000000000000000001000000001110000000110000000000000000010000000000100000100000000000000000100001100000100000000100000000000000100000100000100000000000000000000101100100000001000000000100000000000000000000000000000
Row51,CHEMBL1770168,9a,IP,=,69,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3ccccc3c2)c2cccc(F)c2c1=O,0000000000100000000000000000000000000000000000000001000000000001100010010000000011110000000000000000000000000000000000010001000001100000000000000001000000000100000000000000000000000000000010000000000000000000000000000000000010000000000000000001000001000000000110000000000000000101010000001000000000000000000000001000001000001111001010001011000000001100000000000000000000000000000000011000000000000000000001000000000000000000000000000000001000000000000100000010000100000000001000001000000000000000000000000000000000011000000000000001100000000000000000010000000000000010000000000000000000000100000000110000000000000010000010001000000000000000000000000000000011000000000000010001000000000000000000000000000000000001100010000000001000000001100000000100000000000100001000000000000000000100000000000000000000000000000000000000000000001000000001110000000110000000000000000010000000000100000100000000000000000100001100000100000000100000000000000100000100000100000000000000000000101100100000001000000000100000000000000000000000000000
Row52,CHEMBL1771697,9h,IP,=,81,nM,CHEMBL1770115,O=C1Cc2cc(Cn3cc(C(=O)[O-])c(=O)c4c(F)cccc43)ccc2N1,0000000000110000000000000000001000000000000000100001000000000001111010010000000011110000000000000000000000000000100000010001000001100000100001010001000000000100000001000000000000000000000010000000000000100000000000000000000010000000000000000001000001000000010111000000000000000101010000001000000000000010000000001000001000001111001110001011001000001100000000000000000000000100000000011000000000000000000001000000000000000000000100000000001000001000000100000010000100000000001000001000000000000000000100000000000000011000000000000001100000000000000000010100000000100010000000010000000000000100100001110000000000000010000010001000000001000000000000000000010011000000000000010001000000000000000010100000100000000001100010000000101000000001100000000100000000000100001000000000000000000100000000000000000000000000000000000000000000001000000001110000000110000000000000000110000000000100000100000000001000000100001100000100000000100000100000000100000100000100000000000000000000101100100000001000000000100000000000010000000000000000
Row53,CHEMBL1771697,9h,IP,=,81,nM,CHEMBL1770115,O=C1Cc2cc(Cn3cc(C(=O)O)c(=O)c4c(F)cccc43)ccc2N1,0000000000110000000000000000001000000000000000100001000000000001111010010000000011110000000000000000000000000000100000010001000001100000100001010001000000000100000001000000000000000000000010000000000000100000000000000000000010000000000000000001000001000000010111000000000000000101010000001000000000000010000000001000001000001111001110001011001000001100000000000000000000000100000000011000000000000000000001000000000000000000000100000000001000001000000100000010000100000000001000001000000000000000000100000000000000011000000000000001100000000000000000010100000000100010000000010000000000000100100001110000000000000010000010001000000001000000000000000000010011000000000000010001000000000000000010100000100000000001100010000000101000000001100000000100000000000100001000000000000000000100000000000000000000000000000000000000000000001000000001110000000110000000000000000110000000000100000100000000001000000100001100000100000000100000100000000100000100000100000000000000000000101100100000001000000000100000000000010000000000000000
Row54,CHEMBL1771702,9m,IP,=,84,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3c(c2)OCCO3)c2cccc(F)c2c1=O,0000000000100000000000000000000000000000000000000001000000000001100010010000000011110000000000000000000000100000000000010001000001100000000000000001000010000100000000000000000000100010000010000000000000000000000000000000000010000000000000000001000001000000000110000000000010000101010010001000000000000000000000001001001000001111001010001011000000001100000000000000000000000000000000011000000000100000001001000000000000100000000000000000101000000000000100000010000100000000001000001000000000000000000000000000000000011000000000001001100000000000010000010000000000000010010000000000000010000100000000110000000000100010000010011000000010000000000000000000000011000000000000010001000000000000000000000000000000010001100010000000001000000001100000000100001000000100001000000000000000000100000000000000000000000000001000000001000000101000000001110000000110000000000000000010000000000100000100000000000000000100001100000100001000100000000010000100000100000100000000100000100000101100100000001001000100100000000000000000000000010000
Row55,CHEMBL1771702,9m,IP,=,84,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3c(c2)OCCO3)c2cccc(F)c2c1=O,0000000000100000000000000000000000000000000000000001000000000001100010010000000011110000000000000000000000100000000000010001000001100000000000000001000010000100000000000000000000100010000010000000000000000000000000000000000010000000000000000001000001000000000110000000000010000101010010001000000000000000000000001001001000001111001010001011000000001100000000000000000000000000000000011000000000100000001001000000000000100000000000000000101000000000000100000010000100000000001000001000000000000000000000000000000000011000000000001001100000000000010000010000000000000010010000000000000010000100000000110000000000100010000010011000000010000000000000000000000011000000000000010001000000000000000000000000000000010001100010000000001000000001100000000100001000000100001000000000000000000100000000000000000000000000001000000001000000101000000001110000000110000000000000000010000000000100000100000000000000000100001100000100001000100000000010000100000100000100000000100000100000101100100000001001000100100000000000000000000000010000
Row56,CHEMBL1771703,9n,IP,=,97,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3c(c2)CC[C@@H]3O)c2cccc(F)c2c1=O,0000000000110000000000000000000000000000000000000001000000000001101010010000000011110000000000000000000000000000000000010001000001100000000000000001000000000100000000000000000000000000000010000000000000100000000000000000000010000000000000000001000001000000000111000000000000000101010000001000000100000001000000001100001000001111001010001011000000001100000000000100000000000000000000011100000000000000000001000000000000000000000100000000001100000000000100000010000100000000001000001000000000000000000000000000000000011000000000000011100000000000000000010000000000000010000000000000000000000100000000110000000000000010000010001000000000000000100000000000100011000000000000010001000000000000000001000000100000000001100010000000101000000001100000000100100000000100001000000000000000000100000000000000000000000000000000000000000000001000000001110000000110000000000000000110000000000100000100000000000000000100001100000101000000100000001000000100000100000100000000000000000000101100100000001100000000100000000000000000000000000000
Row57,CHEMBL1771703,9n,IP,=,97,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3c(c2)CC[C@@H]3O)c2cccc(F)c2c1=O,0000000000110000000000000000000000000000000000000001000000000001101010010000000011110000000000000000000000000000000000010001000001100000000000000001000000000100000000000000000000000000000010000000000000100000000000000000000010000000000000000001000001000000000111000000000000000101010000001000000100000001000000001100001000001111001010001011000000001100000000000100000000000000000000011100000000000000000001000000000000000000000100000000001100000000000100000010000100000000001000001000000000000000000000000000000000011000000000000011100000000000000000010000000000000010000000000000000000000100000000110000000000000010000010001000000000000000100000000000100011000000000000010001000000000000000001000000100000000001100010000000101000000001100000000100100000000100001000000000000000000100000000000000000000000000000000000000000000001000000001110000000110000000000000000110000000000100000100000000000000000100001100000101000000100000001000000100000100000100000000000000000000101100100000001100000000100000000000000000000000000000
Row58,CHEMBL1771705,6a,IP,=,270,nM,CHEMBL1770115,O=C([O-])c1cn(C/C=C/c2ccccc2)c2c(F)cccc2c1=O,0000000000100000000000000000000000000000000010000001000000010001100000010000100010110000000000000000000000000000000000010001000001100000000000000101000000000101000000000000001000000001000011000000000000000000000000000000000010000000000000000001000000000000000110000000000000000101000000001000000000000000000000001000001000001111001010001011000000001100000000000000000000000000000000011000000000000000000000001000000000000000000000000100001000000000000100010100001100000000001000001000000000010000000000000000001000011000000000000001100000000000001000010000000000100000000000000010000000000100000000110000000000000000000010001000000001000000000000000000000011000000000001010001000000000000000000000000000000000001100010000000000000000001100000000100000000000000001001000000000000010000000000000000000000000000100000000000100000000000100001110000000110000000000000000010000000000100000100000000000000000100001100000100000000110000000000000100000100000100000000000000000000001100100000001000000000100000000000000000000000000000
Row59,CHEMBL1771705,6a,IP,=,270,nM,CHEMBL1770115,O=C(O)c1cn(C/C=C/c2ccccc2)c2c(F)cccc2c1=O,0000000000100000000000000000000000000000000010000001000000010001100000010000100010110000000000000000000000000000000000010001000001100000000000000101000000000101000000000000001000000001000011000000000000000000000000000000000010000000000000000001000000000000000110000000000000000101000000001000000000000000000000001000001000001111001010001011000000001100000000000000000000000000000000011000000000000000000000001000000000000000000000000100001000000000000100010100001100000000001000001000000000010000000000000000001000011000000000000001100000000000001000010000000000100000000000000010000000000100000000110000000000000000000010001000000001000000000000000000000011000000000001010001000000000000000000000000000000000001100010000000000000000001100000000100000000000000001001000000000000010000000000000000000000000000100000000000100000000000100001110000000110000000000000000010000000000100000100000000000000000100001100000100000000110000000000000100000100000100000000000000000000001100100000001000000000100000000000000000000000000000
Row60,CHEMBL1771769,6b,IP,=,240,nM,CHEMBL1770115,O=C([O-])c1cn(C/C=C/c2ccccc2F)c2c(F)cccc2c1=O,0000000000100000000000000000000000000000000010000001000000010001100000010000100010110000000000000000000000000000000000010001000001100000000000000101000000000101000000000000001000000001000011000000000000000000000000000000000010000000000000000001000000000000000110000000000000000101000000001000000000000000000000001000001000001111001010001011000000001100000000000000000000000000000000011000000000000000000000001000000000000000000000000100001000000000000100010100001100000000001000001000000000110000000000000000001000011000000000000001100000000000001000010000000000100000000000000010000000000100000000110000000000000100000010001000000001000000000000000000000011000000000001011001000000000000000000010000000000000001100010000000000000000001100000000100000000000000001001000000000000010000000000000000000000000000100000000000100000000000100001110000000110000000000000000010000000000100000100000000000000000100001100000100000000110000000000000100000100000100000000000000000000001100100000001000000000100000000000000000000000000000
Row61,CHEMBL1771769,6b,IP,=,240,nM,CHEMBL1770115,O=C(O)c1cn(C/C=C/c2ccccc2F)c2c(F)cccc2c1=O,0000000000100000000000000000000000000000000010000001000000010001100000010000100010110000000000000000000000000000000000010001000001100000000000000101000000000101000000000000001000000001000011000000000000000000000000000000000010000000000000000001000000000000000110000000000000000101000000001000000000000000000000001000001000001111001010001011000000001100000000000000000000000000000000011000000000000000000000001000000000000000000000000100001000000000000100010100001100000000001000001000000000110000000000000000001000011000000000000001100000000000001000010000000000100000000000000010000000000100000000110000000000000100000010001000000001000000000000000000000011000000000001011001000000000000000000010000000000000001100010000000000000000001100000000100000000000000001001000000000000010000000000000000000000000000100000000000100000000000100001110000000110000000000000000010000000000100000100000000000000000100001100000100000000110000000000000100000100000100000000000000000000001100100000001000000000100000000000000000000000000000
